scenario,iter,profit,produced,good,th_per_hr,epp,J
S1_profit,0,2013.0828,29,29,4.350000,2.333413,2013.082756
S1_profit,1,1458.4414,21,21,3.150000,2.201637,1458.441404
S1_profit,2,971.9694,14,14,2.100000,2.294469,971.969359
S1_profit,3,2153.2192,31,31,4.650000,2.165262,2153.219218
S1_profit,4,969.4227,14,14,2.100000,3.022078,969.422727
S1_profit,5,1596.3745,23,23,3.450000,2.369657,1596.374473
S1_profit,6,2014.7109,29,29,4.350000,2.108841,2014.710904
S1_profit,7,1942.9634,28,28,4.200000,2.433797,1942.963421
S1_profit,8,1944.8778,28,28,4.200000,2.160314,1944.877804
S1_profit,9,2083.0005,30,30,4.500000,2.266603,2083.000480
S1_profit,10,1735.4613,25,25,3.750000,2.326189,1735.461318
S1_profit,11,1875.3786,27,27,4.050000,2.166139,1875.378563
S1_profit,12,1805.0917,26,26,3.900000,2.293580,1805.091727
S1_profit,13,1389.7445,20,20,3.000000,2.051090,1389.744550
S1_profit,14,1875.4113,27,27,4.050000,2.161284,1875.411330
S1_profit,15,2013.0828,29,29,4.350000,2.333413,2013.082756
S1_profit,16,1319.0911,19,19,2.850000,2.296606,1319.091123
S1_profit,17,1666.1551,24,24,3.600000,2.307486,1666.155082
S1_profit,18,1805.7682,26,26,3.900000,2.189500,1805.768247
S1_profit,19,1944.4898,28,28,4.200000,2.215738,1944.489832
S1_profit,20,1944.2768,28,28,4.200000,2.246167,1944.276831
S1_profit,21,2152.2786,31,31,4.650000,2.286632,2152.278605
S1_profit,22,1666.2040,24,24,3.600000,2.299332,1666.204010
S1_profit,23,1943.8050,28,28,4.200000,2.313567,1943.805033
S1_profit,24,2153.2192,31,31,4.650000,2.165262,2153.219218
S1_profit,25,1597.3096,23,23,3.450000,2.207023,1597.309617
S1_profit,26,1804.0701,26,26,3.900000,2.450748,1804.070141
S1_profit,27,1736.4379,25,25,3.750000,2.169940,1736.437874
S1_profit,28,1875.1806,27,27,4.050000,2.195470,1875.180576
S1_profit,29,2013.9260,29,29,4.350000,2.217107,2013.925978
S1_profit,30,1320.0765,19,19,2.850000,2.089157,1320.076502
S1_profit,31,1804.9829,26,26,3.900000,2.310319,1804.982928
S1_profit,32,1597.3116,23,23,3.450000,2.206684,1597.311568
S1_profit,33,2291.5779,33,33,4.950000,2.232978,2291.577934
S1_profit,34,2152.6125,31,31,4.650000,2.243546,2152.612518
S1_profit,35,1736.6562,25,25,3.750000,2.135008,1736.656200
S1_profit,36,1666.0010,24,24,3.600000,2.333161,1666.001032
S1_profit,37,902.8196,13,13,1.950000,2.209353,902.819603
S1_profit,38,2013.2896,29,29,4.350000,2.304885,2013.289582
S1_profit,39,2082.7393,30,30,4.500000,2.301431,2082.739266
S1_profit,40,1319.9552,19,19,2.850000,2.114701,1319.955169
S1_profit,41,2013.0594,29,29,4.350000,2.336637,2013.059382
S1_profit,42,2152.2635,31,31,4.650000,2.288583,2152.263485
S1_profit,43,2081.8045,30,30,4.500000,2.426062,2081.804535
S1_profit,44,2221.6893,32,32,4.800000,2.288841,2221.689271
S1_profit,45,1595.8900,23,23,3.450000,2.453919,1595.889966
S1_profit,46,1874.2495,27,27,4.050000,2.333414,1874.249455
S1_profit,47,2152.0252,31,31,4.650000,2.319331,2152.025185
S1_profit,48,2083.2567,30,30,4.500000,2.232438,2083.256713
S1_profit,49,2152.5918,31,31,4.650000,2.246217,2152.591818
S1_profit,50,1805.2586,26,26,3.900000,2.267910,1805.258586
S1_profit,51,2013.5964,29,29,4.350000,2.262563,2013.596421
S1_profit,52,2152.2786,31,31,4.650000,2.286632,2152.278605
S1_profit,53,1805.1115,26,26,3.900000,2.290539,1805.111499
S1_profit,54,2290.5087,33,33,4.950000,2.362581,2290.508710
S1_profit,55,2083.7881,30,30,4.500000,2.161591,2083.788068
S1_profit,56,2222.8025,32,32,4.800000,2.149689,2222.802487
S1_profit,57,1597.1277,23,23,3.450000,2.238655,1597.127734
S1_profit,58,2151.8374,31,31,4.650000,2.343556,2151.837444
S1_profit,59,2012.9806,29,29,4.350000,2.347500,2012.980623
S1_profit,60,1249.4553,18,18,2.700000,2.343272,1249.455276
S1_profit,61,2083.9300,30,30,4.500000,2.142668,2083.929990
S1_profit,62,2291.0336,33,33,4.950000,2.298958,2291.033595
S1_profit,63,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,64,1733.5687,25,25,3.750000,2.629014,1733.568661
S1_profit,65,1945.6823,28,28,4.200000,2.045379,1945.682346
S1_profit,66,2292.6619,33,33,4.950000,2.101589,2292.661892
S1_profit,67,2221.6893,32,32,4.800000,2.288841,2221.689271
S1_profit,68,2153.2192,31,31,4.650000,2.165262,2153.219218
S1_profit,69,2151.5691,31,31,4.650000,2.378177,2151.569126
S1_profit,70,1733.5687,25,25,3.750000,2.629014,1733.568661
S1_profit,71,2289.9991,33,33,4.950000,2.424347,2289.999139
S1_profit,72,1941.4314,28,28,4.200000,2.652653,1941.431431
S1_profit,73,2221.0330,32,32,4.800000,2.370881,2221.032955
S1_profit,74,2290.3040,33,33,4.950000,2.387397,2290.303976
S1_profit,75,2291.0336,33,33,4.950000,2.298958,2291.033595
S1_profit,76,1943.1595,28,28,4.200000,2.405780,1943.159542
S1_profit,77,2291.0336,33,33,4.950000,2.298958,2291.033595
S1_profit,78,1805.9420,26,26,3.900000,2.162773,1805.941973
S1_profit,79,2014.5501,29,29,4.350000,2.131022,2014.550088
S1_profit,80,2289.4917,33,33,4.950000,2.485859,2289.491663
