scenario,iter,profit,produced,good,th_per_hr,epp,J
S2_profit_plus_good,0,2053.1547,30,30,2.571429,2.292696,2503.154667
S2_profit_plus_good,1,2626.4357,38,38,3.257143,2.317218,3196.435736
S2_profit_plus_good,2,3101.6298,45,45,3.857143,2.127865,3776.629784
S2_profit_plus_good,3,2537.9737,37,37,3.171429,2.443419,3092.973703
S2_profit_plus_good,4,2611.3036,38,38,3.257143,2.350893,3181.303550
S2_profit_plus_good,5,2215.0557,32,32,2.742857,2.372588,2695.055745
S2_profit_plus_good,6,2753.4216,40,40,3.428571,2.214121,3353.421623
S2_profit_plus_good,7,2623.3785,38,38,3.257143,2.256275,3193.378540
S2_profit_plus_good,8,3713.7946,54,54,4.628571,2.165885,4523.794595
S2_profit_plus_good,9,2283.6308,33,33,2.828571,2.230431,2778.630787
S2_profit_plus_good,10,2194.9923,32,32,2.742857,2.428747,2674.992300
S2_profit_plus_good,11,2335.6332,34,34,2.914286,2.176183,2845.633183
S2_profit_plus_good,12,2608.5835,38,38,3.257143,2.412467,3178.583470
S2_profit_plus_good,13,2899.4600,42,42,3.600000,2.281340,3529.459992
S2_profit_plus_good,14,3176.5697,46,46,3.942857,2.256116,3866.569737
S2_profit_plus_good,15,3360.5647,49,49,4.200000,2.337311,4095.564748
S2_profit_plus_good,16,2483.9445,36,36,3.085714,2.142417,3023.944482
S2_profit_plus_good,17,2257.5955,33,33,2.828571,2.284782,2752.595471
S2_profit_plus_good,18,3296.0551,48,48,4.114286,2.513811,4016.055063
S2_profit_plus_good,19,3310.4111,48,48,4.114286,2.258401,4030.411102
S2_profit_plus_good,20,2740.1969,40,40,3.428571,2.030734,3340.196916
S2_profit_plus_good,21,3378.4455,49,49,4.200000,2.161736,4113.445523
S2_profit_plus_good,22,3640.1481,53,53,4.542857,2.172610,4435.148058
S2_profit_plus_good,23,2333.6076,34,34,2.914286,2.230528,2843.607622
S2_profit_plus_good,24,3308.4022,48,48,4.114286,2.288756,4028.402240
S2_profit_plus_good,25,3571.7897,52,52,4.457143,2.151942,4351.789672
S2_profit_plus_good,26,1944.7016,28,28,2.400000,2.185491,2364.701560
S2_profit_plus_good,27,3449.7565,50,50,4.285714,2.255194,4199.756487
S2_profit_plus_good,28,3372.6525,49,49,4.200000,2.273914,4107.652497
S2_profit_plus_good,29,2538.5354,37,37,3.171429,2.213342,3093.535377
S2_profit_plus_good,30,2903.8818,42,42,3.600000,2.222403,3533.881780
S2_profit_plus_good,31,2881.9855,42,42,3.600000,2.409389,3511.985496
S2_profit_plus_good,32,3312.8996,48,48,4.114286,2.160374,4032.899558
S2_profit_plus_good,33,2691.7979,39,39,3.342857,2.275229,3276.797900
S2_profit_plus_good,34,2751.8361,40,40,3.428571,2.366460,3351.836113
S2_profit_plus_good,35,2064.4432,30,30,2.571429,2.193123,2514.443153
S2_profit_plus_good,36,3577.5668,52,52,4.457143,2.204919,4357.566760
S2_profit_plus_good,37,3182.6590,46,46,3.942857,2.286677,3872.658958
S2_profit_plus_good,38,3324.3582,48,48,4.114286,2.090967,4044.358151
S2_profit_plus_good,39,2674.2615,39,39,3.342857,2.226312,3259.261530
S2_profit_plus_good,40,3310.6258,48,48,4.114286,2.362431,4030.625790
S2_profit_plus_good,41,3030.8734,44,44,3.771429,2.242133,3690.873419
S2_profit_plus_good,42,3512.2675,51,51,4.371429,2.297998,4277.267483
S2_profit_plus_good,43,2684.6475,39,39,3.342857,2.299040,3269.647525
S2_profit_plus_good,44,2476.4386,36,36,3.085714,2.150407,3016.438607
S2_profit_plus_good,45,3654.1749,53,53,4.542857,2.142156,4449.174948
S2_profit_plus_good,46,3436.6798,50,50,4.285714,2.237137,4186.679764
S2_profit_plus_good,47,3230.0532,47,47,4.028571,2.422078,3935.053241
S2_profit_plus_good,48,3380.9724,49,49,4.200000,2.191047,4115.972418
