scenario,iter,profit,produced,good,th_per_hr,epp,J
S6_weighted,0,3101.6298,45,45,3.857143,2.127865,1898.191934
S6_weighted,1,2537.9737,37,37,3.171429,2.443419,715.870860
S6_weighted,2,2626.4357,38,38,3.257143,2.317218,985.773588
S6_weighted,3,2053.1547,30,30,2.571429,2.292696,201.918937
S6_weighted,4,2753.4216,40,40,3.428571,2.214121,1296.476191
S6_weighted,5,2611.3036,38,38,3.257143,2.350893,930.232531
S6_weighted,6,2215.0557,32,32,2.742857,2.372588,327.949924
S6_weighted,7,2623.3785,38,38,3.257143,2.256275,1055.849020
S6_weighted,8,2194.9923,32,32,2.742857,2.428747,240.495886
S6_weighted,9,2335.6332,34,34,2.914286,2.176183,744.213522
S6_weighted,10,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,11,2283.6308,33,33,2.828571,2.230431,597.113649
S6_weighted,12,2608.5835,38,38,3.257143,2.412467,853.623428
S6_weighted,13,2899.4600,42,42,3.600000,2.281340,1421.851415
S6_weighted,14,3176.5697,46,46,3.942857,2.256116,1849.230517
S6_weighted,15,3360.5647,49,49,4.200000,2.337311,2025.791544
S6_weighted,16,2483.9445,36,36,3.085714,2.142417,993.043951
S6_weighted,17,3296.0551,48,48,4.114286,2.513811,1719.481818
S6_weighted,18,2257.5955,33,33,2.828571,2.284782,505.857375
S6_weighted,19,3310.4111,48,48,4.114286,2.258401,2040.329630
S6_weighted,20,2740.1969,40,40,3.428571,2.030734,1503.316483
S6_weighted,21,3378.4455,49,49,4.200000,2.161736,2254.362287
S6_weighted,22,3640.1481,53,53,4.542857,2.172610,2623.016637
S6_weighted,23,3308.4022,48,48,4.114286,2.288756,2001.895412
S6_weighted,24,2333.6076,34,34,2.914286,2.230528,676.973536
S6_weighted,25,3159.7282,46,46,3.942857,2.296934,1783.407138
S6_weighted,26,3571.7897,52,52,4.457143,2.151942,2549.459140
S6_weighted,27,2690.4218,39,39,3.342857,2.158117,1270.681558
S6_weighted,28,2473.2083,36,36,3.085714,2.242799,861.849195
S6_weighted,29,2950.5048,43,43,3.685714,2.252960,1536.952936
S6_weighted,30,3173.8312,46,46,3.942857,2.039789,2106.085012
S6_weighted,31,2616.2636,38,38,3.257143,2.277363,1023.428196
S6_weighted,32,3242.6621,47,47,4.028571,2.209890,2000.794298
S6_weighted,33,2408.3281,35,35,3.000000,2.206141,810.958976
S6_weighted,34,2416.8563,35,35,3.000000,2.220296,802.500774
S6_weighted,35,1991.5788,29,29,2.485714,2.225287,191.234233
S6_weighted,36,2071.1068,30,30,2.571429,2.455496,24.511041
S6_weighted,37,2610.0389,38,38,3.257143,2.337122,945.492530
S6_weighted,38,2530.7884,37,37,3.171429,2.146932,1064.469487
S6_weighted,39,2272.0284,33,33,2.828571,2.105422,735.521625
S6_weighted,40,3375.2591,49,49,4.200000,2.193917,2212.558554
S6_weighted,41,3162.1573,46,46,3.942857,2.193767,1909.636808
S6_weighted,42,3507.1042,51,51,4.371429,2.254656,2331.516510
S6_weighted,43,2972.0082,43,43,3.685714,2.302380,1499.152516
S6_weighted,44,2903.4744,42,42,3.600000,2.417396,1262.598924
S6_weighted,45,3242.1775,47,47,4.028571,2.186279,2028.642215
S6_weighted,46,2884.9123,42,42,3.600000,2.293109,1393.181347
S6_weighted,47,2530.2729,37,37,3.171429,2.456120,692.929257
S6_weighted,48,2622.2837,38,38,3.257143,2.254949,1056.344753
S6_weighted,49,3239.2248,47,47,4.028571,2.165445,2050.690870
S6_weighted,50,3025.8218,44,44,3.771429,2.248064,1648.145480
S6_weighted,51,2675.1826,39,39,3.342857,2.261375,1131.532555
S6_weighted,52,3509.8157,51,51,4.371429,2.218552,2377.553554
S6_weighted,53,3091.2773,45,45,3.857143,2.538263,1395.361664
S6_weighted,54,3165.8063,46,46,3.942857,2.232181,1867.188747
S6_weighted,55,3381.2306,49,49,4.200000,2.223252,2183.327937
S6_weighted,56,2697.8220,39,39,3.342857,2.313093,1092.110734
S6_weighted,57,3237.0960,47,47,4.028571,2.233886,1966.432424
S6_weighted,58,2185.8796,32,32,2.742857,2.329556,350.412182
S6_weighted,59,2747.8305,40,40,3.428571,2.151500,1366.030623
S6_weighted,60,3089.4682,45,45,3.857143,2.125191,1889.238888
S6_weighted,61,2838.8014,41,41,3.514286,2.251844,1366.588136
S6_weighted,62,3246.6809,47,47,4.028571,2.277530,1923.644571
S6_weighted,63,3037.3235,44,44,3.771429,2.172819,1749.940356
S6_weighted,64,2494.3744,36,36,3.085714,2.149633,994.814457
S6_weighted,65,2812.5313,41,41,3.514286,2.275138,1312.366143
S6_weighted,66,3172.3015,46,46,3.942857,2.233410,1872.209409
S6_weighted,67,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,68,3102.9843,45,45,3.857143,2.326482,1661.205821
S6_weighted,69,3375.0756,49,49,4.200000,2.186077,2221.783039
S6_weighted,70,2667.0639,39,39,3.342857,2.319949,1053.125212
S6_weighted,71,3041.9024,44,44,3.771429,2.162766,1766.583202
S6_weighted,72,3102.5343,45,45,3.857143,2.302725,1689.263695
S6_weighted,73,3364.3540,49,49,4.200000,2.201915,2192.055672
S6_weighted,74,3508.5355,51,51,4.371429,2.157926,2449.024540
S6_weighted,75,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,76,3571.7897,52,52,4.457143,2.151942,2549.459140
S6_weighted,77,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,78,3431.5463,50,50,4.285714,2.207476,2282.575147
S6_weighted,79,3452.6332,50,50,4.285714,2.202762,2309.318490
S6_weighted,80,2821.5673,41,41,3.514286,2.301370,1289.923806
S6_weighted,81,2467.7502,36,36,3.085714,2.534016,506.931513
S6_weighted,82,2891.7111,42,42,3.600000,2.166377,1552.058786
S6_weighted,83,3641.6644,53,53,4.542857,2.259958,2519.714774
S6_weighted,84,3078.0353,45,45,3.857143,2.416841,1527.825778
S6_weighted,85,1841.3351,27,27,2.314286,2.170010,47.323041
S6_weighted,86,3164.1903,46,46,3.942857,2.171563,1938.315157
S6_weighted,87,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,88,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,89,3519.1620,51,51,4.371429,2.181433,2431.442746
S6_weighted,90,3455.0821,50,50,4.285714,2.107873,2425.634369
S6_weighted,91,3514.2226,51,51,4.371429,2.171701,2438.181055
S6_weighted,92,3234.5567,47,47,4.028571,2.222252,1977.854263
S6_weighted,93,2962.1591,43,43,3.685714,2.221645,1586.185142
S6_weighted,94,3516.0728,51,51,4.371429,2.195859,2411.042163
S6_weighted,95,2421.4139,35,35,3.000000,2.374004,622.609085
S6_weighted,96,3230.2181,47,47,4.028571,2.381665,1782.220042
S6_weighted,97,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,98,2748.7603,40,40,3.428571,2.331097,1151.443928
S6_weighted,99,2811.3927,41,41,3.514286,2.236850,1357.172973
S6_weighted,100,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,101,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,102,3238.5536,47,47,4.028571,2.239807,1960.785068
S6_weighted,103,3106.0587,45,45,3.857143,2.216100,1796.739110
S6_weighted,104,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,105,2839.9214,41,41,3.514286,2.322124,1283.372988
S6_weighted,106,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,107,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,108,3032.3100,44,44,3.771429,2.142581,1781.212785
S6_weighted,109,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,110,3375.2591,49,49,4.200000,2.193917,2212.558554
S6_weighted,111,2975.7292,43,43,3.685714,2.148614,1687.392472
S6_weighted,112,3378.7363,49,49,4.200000,2.202377,2205.884394
S6_weighted,113,2551.4089,37,37,3.171429,2.158275,1071.478356
S6_weighted,114,3031.2558,44,44,3.771429,2.095657,1836.467993
S6_weighted,115,2964.8670,43,43,3.685714,2.202095,1612.353434
S6_weighted,116,2885.3297,42,42,3.600000,2.421927,1239.017081
S6_weighted,117,3657.8573,53,53,4.542857,2.161253,2654.353152
S6_weighted,118,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,119,3172.3015,46,46,3.942857,2.233410,1872.209409
S6_weighted,120,2816.6528,41,41,3.514286,2.438801,1120.091583
S6_weighted,121,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,122,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,123,3107.8925,45,45,3.857143,2.253788,1753.347123
S6_weighted,124,2808.5766,41,41,3.514286,2.266732,1318.498200
S6_weighted,125,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,126,3240.7108,47,47,4.028571,2.226343,1979.099716
S6_weighted,127,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,128,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,129,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,130,2662.4424,39,39,3.342857,2.428561,918.169534
S6_weighted,131,3380.0771,49,49,4.200000,2.297241,2093.388267
S6_weighted,132,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,133,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,134,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,135,3098.0926,45,45,3.857143,2.289904,1700.207435
S6_weighted,136,3234.5567,47,47,4.028571,2.222252,1977.854263
S6_weighted,137,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,138,3586.9112,52,52,4.457143,2.130166,2590.711510
S6_weighted,139,3315.1125,48,48,4.114286,2.180244,2138.820133
S6_weighted,140,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,141,3519.1620,51,51,4.371429,2.181433,2431.442746
S6_weighted,142,3519.1620,51,51,4.371429,2.181433,2431.442746
S6_weighted,143,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,144,3172.3015,46,46,3.942857,2.233410,1872.209409
S6_weighted,145,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,146,2146.2990,31,31,2.657143,2.020519,651.675682
S6_weighted,147,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,148,2260.3326,33,33,2.828571,2.173318,642.351222
S6_weighted,149,3311.0438,48,48,4.114286,2.253026,2047.412472
S6_weighted,150,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,151,2962.1591,43,43,3.685714,2.221645,1586.185142
S6_weighted,152,2900.6000,42,42,3.600000,2.393731,1288.123414
S6_weighted,153,3030.0267,44,44,3.771429,2.245964,1654.870185
S6_weighted,154,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,155,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,156,3098.0926,45,45,3.857143,2.289904,1700.207435
S6_weighted,157,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,158,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,159,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,160,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,161,2614.1411,38,38,3.257143,2.331472,956.374702
S6_weighted,162,3309.2524,48,48,4.114286,2.217072,2088.765892
S6_weighted,163,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,164,3651.8270,53,53,4.542857,2.206874,2593.577633
S6_weighted,165,3373.9076,49,49,4.200000,2.227193,2171.276021
S6_weighted,166,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,167,2953.5295,43,43,3.685714,2.422373,1336.681383
S6_weighted,168,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,169,3854.7000,56,56,4.800000,2.177419,2921.797561
